name;typeSkill;group;speciality;level;timeCasting;timeReloading;image;description;caractsUse;caractsTarget;effect;effect0;effect1;effect2;effect3
Éveil végétal;UTILE;Druide;;1;0;0;;Rend un arbre intelligent. ;POU;;;;;;
Voyage par les arbres ;UTILE;Druide;;1;0;0;;Le PJ entre dans un arbre et ressort par un autre. ;POU;;;;;;
Communion avec la nature ;UTILE;Druide;;1;0;0;;Permet de connaître les environs (1,5 km/niveau). ;POU;;;;;;
Empire végétal ;UTILE;Druide;;1;0;0;;Influence les actions d’une ou plusieurs créatures végétales. ;POU;;;;;;
Flétrissement végétal ;UTILE;Druide;;1;0;0;;Flétrit une plante ou inflige 1d6 points de dégâts/niveau à une créature végétale. ;POU;;;;;;
Animation des plantes ;UTILE;Druide;;1;0;0;;Une ou plusieurs plantes s’animent et attaquent les adversaires du PJ. ;POU;;;;;;
Clairaudience/clairvoyance  ;UTILE;Druide;;1;0;0;;Permet d’entendre ou de voir de loin pendant 1 minute/niveau. ;POU;;;;;;
Communication avec les animaux ;UTILE;Druide;;1;0;0;;Permet de communiquer avec les animaux. ;POU;;;;;;
Détection de la faune ou de la flore ;UTILE;Druide;;1;0;0;;Détecte espèces de plantes ou d’animaux. ;POU;;;;;;
Communication avec les animaux ;UTILE;Druide;;1;0;0;;Permet de communiquer avec les animaux. ;POU;;;;;;
Métamorphose partielle animale ;UTILE;Druide;;1;0;0;;1 allié/niveau se transforme partiellement en animal choisi. ;POU;;;;;;
Métamorphose animale ;UTILE;Druide;;1;0;0;;1 allié/niveau se transforme en animal choisi. ;POU;;;;;;
Apaisement des animaux ;UTILE;Druide;;1;0;0;;Calme (2d4 + niveau) DV d’animaux. ;POU;;;;;;
Âme soeur;UTILE;;Chaman;1;0;0;;Vous lie à la cible, ce qui vous permet de lui faire également profiter des effets de soins et de récupération d'armure dont vous bénéficiez. Supprime Gel, Etourdissement, Renversement et Pétrification sur la cible.;POU;;;;;;
Vision spirituelle;UTILE;;Chaman;1;0;0;;Vos yeux percent le voile du Hall aux Echos.;POU;;;;;;
Explosion de nombreux cadavres;UTILE;;Chaman;1;0;0;;Fait exploser tous les cadavres autour de vous, ce qui inflige des dégâts physiques dans toute la zone.;POU;;;;;;
Savoir des morts;UTILE;;Chaman;1;0;0;;Le savoir des morts permet d'accueillir les informations d'une âme à proximité de son corps (ou d'une partie de son corps).;POU;;;;;;
Messager animal ;UTILE;;Chaman;1;0;0;;Envoie un animal de taille TP en un lieu donné. ;POU;;;;;;
Lueur féerique ;UTILE;;Chaman;1;0;0;;Illumine le sujet (annule flou, camouflage, etc.). ;POU;;;;;;
Communion;UTILE;;Chaman;1;0;0;;Le dieu du PJ répond par oui ou non à 1 question/niveau.;POU;;;;;;
Communication avec les morts;UTILE;;Chaman;1;0;0;;Un cadavre répond à 1 question/2 niveaux.;POU;;;;;;
Larmes de guérison;UTILE;;Guerisseur;1;0;0;;La terre elle-même se lamente de votre sort, ce qui crée des larmes guérisseuses soignant tous les alliés suffisamment proches de vous. ;POU;;;;;;
Soins superficiels ;UTILE;;Guerisseur;1;0;0;;Rend 1 pv à la cible. ;POU;;;;;;
Stimulant ;UTILE;;Guerisseur;1;0;0;;Confère 1 pv temporaire à la cible. ;POU;;;;;;
Baie nourricière ;UTILE;;Guerisseur;1;0;0;;2d4 baies rendant chacune 1 pv (max. 8 pv/24 heures). ;POU;;;;;;
Ralentissement du poison ;UTILE;;Guerisseur;1;0;0;; Neutralise le poison pendant 1 heure/niveau. ;POU;;;;;;
Guérison des maladies ;UTILE;;Guerisseur;1;0;0;;Guérit tous les maux du sujet. ;POU;;;;;;
Contagion ;UTILE;;Guerisseur;1;0;0;;Infecte la cible. ;POU;;;;;;
Empoisonnement ;UTILE;;Guerisseur;1;0;0;;Le sujet perd 1d10 points de Con, idem 1 minute plus tard. ;POU;;;;;;
Neutralisation du poison ;UTILE;;Guerisseur;1;0;0;;Rend le poison inoffensif. ;POU;;;;;;
Régénération ;UTILE;;Guerisseur;1;0;0;;Fait repousser les membres tranchés, rend 4d8 points de vie, +1/niveau (max. +35). ;POU;;;;;;
Soins intensifs de groupe ;UTILE;;Guerisseur;1;0;0;;Rend 4d8 pv à de nombreuses créatures, +1/niveau. ;POU;;;;;;
Guérison suprême ;UTILE;;Guerisseur;1;0;0;;Soigne 10 points de dégâts/niveau, les maladies et les troubles mentaux. ;POU;;;;;;
Soins intensifs de groupe ;UTILE;;Guerisseur;1;0;0;;Rend 4d8 pv à de nombreuses créatures, +1/niveau. ;POU;;;;;;
Guérison de la cécité/surdité;UTILE;;Guerisseur;1;0;0;;Soigne la cécité ou la surdité.;POU;;;;;;
Modification d’apparence  ;UTILE;Druide;;1;0;0;;Permet d’adopter la forme d’une créature. ;POU;;;;;;
Orientation;UTILE;Druide;;1;0;0;;Indique comment se rendre à l’endroit choisi.;POU;;;;;;
